"","gender_cat","race_cat","N","pre_mean","pre_sd","post_mean","post_sd","gain_mean","gain_sd"
"1","Female","Asian",309,53.8116850386398,15.0982818109329,52.9157268932906,16.4691149172958,-0.895958145349253,12.8283388936399
"2","Female","Asian Hispanic",5,53.8888888888889,12.6686158344349,44.0373635565177,10.3468540665632,-9.85152533237116,4.5024058228001
"3","Female","Black",98,51.5362449022578,15.179006103061,48.0564239282782,15.4065372271961,-3.47982097397955,12.5921114259493
"4","Female","Black Hispanic",8,42.0582524765832,12.2140444323861,43.7741083334491,15.1428787394461,1.71585585686586,9.01974556837795
"5","Female","Hispanic",65,54.1696335831351,14.1763224142658,56.8467685253244,14.8265962220948,2.6771349421893,11.1044677580558
"6","Female","Other",96,52.8056208134594,16.7054496552659,51.4656238488169,17.2389665219102,-1.33999696464254,15.6295588088813
"7","Female","White",760,56.4466857938506,16.9410489544998,55.2405030186845,17.965480140597,-1.20618277516615,13.5714623579225
"8","Female","White Hispanic",121,53.7497160017986,14.5194813866003,52.800002178518,14.6049705029168,-0.94971382328065,12.1123720228962
"9","Male","Asian",166,57.9000378969209,17.1432940569074,54.4889453420146,17.1563057725421,-3.41109255490627,12.4879600678973
"10","Male","Asian Hispanic",4,50.8439961554885,19.8442893573827,49.398639632557,12.397539666239,-1.44535652293153,19.9579699400647
"11","Male","Black",40,52.5626233838952,15.8011949649647,53.3315830340842,16.4368742170234,0.768959650188944,8.76482874774854
"12","Male","Black Hispanic",3,70.077985136982,6.68262340432427,65.2348637092523,5.07916526814052,-4.84312142772977,11.6974302370755
"13","Male","Hispanic",58,53.8117267010534,14.6898424785736,52.0414527443327,16.6928868163556,-1.77027395672068,13.9795663634957
"14","Male","Other",71,57.5938602609323,18.0593403983627,57.2686759025088,17.4056161366038,-0.325184358423436,14.8984477360338
"15","Male","White",583,59.2920433952293,15.6496126207308,60.2841103390373,17.4102152031363,0.992066943807982,13.38655194029
"16","Male","White Hispanic",83,56.5357166010217,16.8701948690087,57.6540629799328,16.5775772208379,1.11834637891106,11.5551924295614
"17","Female",NA,1462,54.909600384513,16.1695211584427,53.788092504023,17.1367239377924,-1.12150788049005,13.2675086459508
"18","Other",NA,33,55.4270233685743,20.0850727869625,58.499119442039,18.307854705188,3.0720960734647,17.3340853427074
"19","Male",NA,1008,58.1324317170321,16.2066780620753,58.1221539692841,17.3794140366354,-0.0102777477480063,13.1833348373975
"20",NA,NA,2503,56.2143103092646,16.3104053479031,55.5956026302466,17.3760447359583,-0.618707679018023,13.3063184190617
