"","group","Q","U","B","T","LCL","UCL","SE","race","gender","instruction","race_gender"
"1","Asian Female",-2.13418994605084,0.0358971700323169,0.00277252815244269,0.0389469510000039,-2.52099559099622,-1.74738430110545,0.197349818849686,"Asian","Female",NA,"Asian Female"
"2","Asian Male",-1.49933270683542,0.0415563422891216,0.00210447244766786,0.0438712619815562,-1.90986387499241,-1.08880153867843,0.20945467763112,"Asian","Male",NA,"Asian Male"
"3","Black Female",-2.61165531356877,0.16088602095093,0.0222882043075359,0.185403045689219,-3.4556010110634,-1.76770961607414,0.430584539538079,"Black","Female",NA,"Black Female"
"4","Black Male",-1.41481403113898,0.154502698152614,0.00344001442647129,0.158286714021732,-2.19460518304177,-0.635022879236183,0.397852628521834,"Black","Male",NA,"Black Male"
"5","Hispanic Female",-2.50373290143766,0.163213867999524,0.006655504601418,0.170534923061084,-3.31313203686558,-1.69433376600975,0.412958742565264,"Hispanic","Female",NA,"Hispanic Female"
"6","Hispanic Male",-2.18078344090034,0.148481980738127,0.021157494575808,0.171755224771516,-2.99307333464657,-1.36849354715411,0.414433619258279,"Hispanic","Male",NA,"Hispanic Male"
"7","White Female",-1.57872131123736,0.0105468260194433,0.00101417204115426,0.011662415264713,-1.79038693074351,-1.36705569173121,0.107992663013341,"White","Female",NA,"White Female"
"8","White Male",-1.38034234773453,0.0120223241691408,0.00079556541654638,0.0128974461273418,-1.60293351791609,-1.15775117755297,0.11356692356202,"White","Male",NA,"White Male"
"9","WhiteHispanic Female",-2.26097853969197,0.0850886937239476,0.0029258679483558,0.0883071484671389,-2.84342230654965,-1.67853477283429,0.297165187172285,"WhiteHispanic","Female",NA,"WhiteHispanic Female"
"10","WhiteHispanic Male",-1.67450101908395,0.0793018496575445,0.0028393891542204,0.0824251777271869,-2.23721281277301,-1.11178922539489,0.287097853922991,"WhiteHispanic","Male",NA,"WhiteHispanic Male"
